FP-non-inferning	TP-non-inferning
0.003552297	0.040893351
0.003566022	0.0410529
0.003569172	0.041463361
0.003655809	0.041789941
0.003891268	0.042253415
0.003936213	0.042550217
0.003998378	0.042892744
0.004040422	0.043084736
0.004078034	0.043212687
0.00408636	0.04358819
0.004105047	0.043813947
0.004120829	0.044045304
0.004157478	0.044344883
0.004158461	0.044441078
0.004223113	0.044835429
0.004243206	0.044998247
0.004254534	0.045136603
0.004279342	0.04536714
0.004283407	0.045498736
0.004316987	0.04576416
0.004343895	0.045913265
0.004345778	0.046046016
0.004359166	0.046163396
0.004365849	0.046322902
0.004431566	0.046775211
0.004432177	0.046865171
0.004442248	0.047401561
0.004514452	0.047572629
0.004520808	0.047743795
0.004537277	0.048075457
0.00457046	0.048340027
0.004600086	0.049339932
0.004819804	0.04955101
0.004857695	0.049668759
0.004858637	0.04976689
0.004904623	0.049986225
0.004910391	0.050181717
0.004932144	0.050342103
0.004954068	0.050449065
0.004976074	0.050635821
0.004990348	0.050999834
0.005111675	0.051646047
0.005118665	0.051845483
0.005142478	0.051983632
0.005183694	0.052175164
0.005186826	0.052347647
0.00525756	0.052593987
0.005261236	0.052816615
0.005270316	0.052961362
0.005279739	0.05344599
0.005291243	0.05388304
0.005300535	0.054056695
0.005353324	0.054155946
0.005357311	0.054253444
0.005389861	0.054427644
0.005429881	0.054628225
0.005449819	0.055066289
0.005495266	0.055663762
0.005538657	0.05595495
0.005603047	0.056185346
0.005630891	0.056319094
0.005743974	0.056697005
0.005791582	0.0571306
0.005808983	0.057278371
0.005880315	0.057453485
0.0059177	0.057647099
0.006060749	0.057922806
0.006076808	0.058152283
0.006115065	0.058529044
0.00614347	0.058698274
0.006166125	0.058977906
0.0063619	0.060058691
0.00637373	0.060307259
0.006425979	0.060540435
0.006464243	0.06071212
0.006518359	0.061084465
0.006541118	0.061250341
0.006612931	0.061720697
0.006851017	0.062195212
0.006954342	0.063132697
0.007007945	0.063320009
0.007091071	0.063641211
0.007144106	0.063896416
0.007203743	0.065498729
0.007234222	0.065726007
0.007300359	0.067743297
0.007332782	0.068745227
0.007348596	0.069014253
0.007525601	0.069758705
